,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month,Period
0,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,North America,Deplaned,Low Fare,Terminal 1,B,27271,Deplaned,27271,2005,July,2005-07-01
1,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,North America,Enplaned,Low Fare,Terminal 1,B,29131,Enplaned,29131,2005,July,2005-07-01
2,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,North America,Thru / Transit,Low Fare,Terminal 1,B,5415,Thru / Transit * 2,10830,2005,July,2005-07-01
3,Air Canada ,AC,Air Canada ,AC,International,North America,Deplaned,Other,Terminal 1,B,35156,Deplaned,35156,2005,July,2005-07-01
4,Air Canada ,AC,Air Canada ,AC,International,North America,Enplaned,Other,Terminal 1,B,34090,Enplaned,34090,2005,July,2005-07-01
5,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,6263,Deplaned,6263,2005,July,2005-07-01
6,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,5500,Enplaned,5500,2005,July,2005-07-01
7,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,12050,Deplaned,12050,2005,July,2005-07-01
8,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,11638,Enplaned,11638,2005,July,2005-07-01
9,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia,Deplaned,Other,International,G,4998,Deplaned,4998,2005,July,2005-07-01
10,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia,Enplaned,Other,International,G,4962,Enplaned,4962,2005,July,2005-07-01
11,AirTran Airways,FL,AirTran Airways,FL,Domestic,North America,Deplaned,Low Fare,International,A,8055,Deplaned,8055,2005,July,2005-07-01
12,AirTran Airways,FL,AirTran Airways,FL,Domestic,North America,Enplaned,Low Fare,International,A,7984,Enplaned,7984,2005,July,2005-07-01
13,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,North America,Deplaned,Other,International,A,36641,Deplaned,36641,2005,July,2005-07-01
14,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,North America,Enplaned,Other,International,A,39379,Enplaned,39379,2005,July,2005-07-01
15,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,North America,Thru / Transit,Other,International,A,3678,Thru / Transit * 2,7356,2005,July,2005-07-01
16,Alaska Airlines,AS,Alaska Airlines,AS,International,North America,Deplaned,Other,International,A,7977,Deplaned,7977,2005,July,2005-07-01
17,Alaska Airlines,AS,Alaska Airlines,AS,International,North America,Enplaned,Other,International,A,8837,Enplaned,8837,2005,July,2005-07-01
18,Alaska Airlines,AS,Alaska Airlines,AS,International,South America,Deplaned,Other,International,A,6969,Deplaned,6969,2005,July,2005-07-01
19,Alaska Airlines,AS,Alaska Airlines,AS,International,South America,Enplaned,Other,International,A,10046,Enplaned,10046,2005,July,2005-07-01
20,Alaska Airlines,AS,Alaska Airlines,AS,International,South America,Thru / Transit,Other,International,A,2266,Thru / Transit * 2,4532,2005,July,2005-07-01
21,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,6545,Deplaned,6545,2005,July,2005-07-01
22,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,6094,Enplaned,6094,2005,July,2005-07-01
23,American Airlines,AA,American Airlines,AA,Domestic,North America,Deplaned,Other,Terminal 3,E,166577,Deplaned,166577,2005,July,2005-07-01
24,American Airlines,AA,American Airlines,AA,Domestic,North America,Enplaned,Other,Terminal 3,E,160890,Enplaned,160890,2005,July,2005-07-01
25,American Eagle Airlines,MQ,American Airlines,AA,Domestic,North America,Deplaned,Other,Terminal 3,E,5493,Deplaned,5493,2005,July,2005-07-01
26,American Eagle Airlines,MQ,American Airlines,AA,Domestic,North America,Enplaned,Other,Terminal 3,E,5213,Enplaned,5213,2005,July,2005-07-01
27,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,5041,Deplaned,5041,2005,July,2005-07-01
28,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,4744,Enplaned,4744,2005,July,2005-07-01
29,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,North America,Deplaned,Other,Terminal 1,C,1552,Deplaned,1552,2005,July,2005-07-01
30,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,North America,Enplaned,Other,Terminal 1,C,1484,Enplaned,1484,2005,July,2005-07-01
31,BelAir Airlines,4T,BelAir Airlines,4T,International,Europe,Deplaned,Other,International,A,325,Deplaned,325,2005,July,2005-07-01
